"np","nRateCat","lnLik","AIC","dAIC","AICwt"
20,1,-102.819661311714,245.639322623428,26.0042113618036,2.12004560109772e-07
19,1,-102.818910847602,243.637821695204,24.0027104335802,5.76720789188694e-07
18,1,-103.016411055369,242.032822110737,22.3977108491128,1.28672825694594e-06
18,1,-102.817677535546,241.635355071093,22.0002438094685,1.56962428464493e-06
17,1,-102.820039999801,239.640079999601,20.004968737977,4.2566131860182e-06
15,1,-102.819774811109,235.639549622219,16.0044383605944,3.14606955374734e-05
14,1,-102.817593327787,233.635186655573,14.000075393949,8.57057989781792e-05
13,1,-102.817572626812,231.635145253624,12.0000339919995,0.000232977338764035
12,1,-102.8184502556,229.636900511201,10.0017892495766,0.000632742509612195
11,1,-102.817937187612,227.635874375224,8.00076311360002,0.00172085515520587
10,1,-102.817561164533,225.635122329066,6.00001106744193,0.0046795285777648
9,1,-102.818991200758,223.637982401517,4.00287113989248,0.0127021000413832
8,1,-102.817575703761,221.635151407523,2.00004014589848,0.034576796454062
8,1,-102.817552470694,221.635104941388,1.99999367976383,0.0345775997884338
8,1,-102.818126122812,221.636252245625,2.00114098400064,0.0345577699633202
7,1,-102.832057359458,219.664114718917,0.0290034572923332,0.0926381624907706
7,1,-102.817969576394,219.635939152788,0.000827891163652339,0.0939524648940729
17,1,-102.819950284649,239.639900569298,20.0047893076734,4.256995085847e-06
14,1,-102.818982577492,233.637965154983,14.0028538933592,8.55868148906657e-05
12,1,-102.818839716037,229.637679432075,10.0025681704506,0.000632496129418663
9,1,-102.817676799828,223.635353599655,4.00024233803103,0.012718806670699
8,1,-102.817968449941,221.635936899882,2.00082563825737,0.0345632192157361
7,1,-102.85541300019,219.710826000381,0.075714738756318,0.0904996096965966
11,1,-102.819217722692,227.638435445384,8.0033241837601,0.00171865295011332
8,1,-102.817554397006,221.635108794012,1.99999753238782,0.0345775331812527
7,1,-102.830831886847,219.661663773694,0.026552512070225,0.0927517576112796
10,1,-102.818500238674,225.637000477349,6.00188921572467,0.00467513621618299
9,1,-102.81883660727,223.63767321454,4.00256195291627,0.0127040638551273
8,1,-102.843278067349,221.686556134698,2.05144487307408,0.0336994147518278
7,1,-102.843401028436,219.686802056872,0.0516907952481063,0.0915932436523483
7,1,-102.832293172284,219.664586344568,0.0294750829438897,0.0926163197993934
7,1,-102.830608570492,219.661217140983,0.026105879358937,0.0927724729087153
7,1,-102.817555630812,219.635111261624,0,0.0939913641523501
