"model","logLik","k","AIC","p_LR","runtime_sec"
"independent",-149.739427450913,4,307.478854901825,4.3969956219821e-19,66.9919999999984
"dependent",-103.618515280939,8,223.237030561878,4.3969956219821e-19,66.9919999999984
