species,inat_taxon_id,inat_name,inat_research_grade_obs,inat_total_photos,inat_photo_total_method,inat_sec_per_species,inat_error,gbif_key,gbif_human_obs,gbif_specimen_obs,gbif_photos,gbif_specimen_photos,combined_obs,combined_obs_specimens,combined_photos,combined_photos_specimens,family,species_binom,family_trait,genus,species_trait,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color,type,key
Trachypithecus cristatus,43497.0,Trachypithecus cristatus,960,1386,exact,6.14,,2436542.0,683.0,111.0,1284.0,628.0,1643.0,1754.0,2670.0,3298.0,Cercopithecidae,Trachypithecus cristatus,cercopithecidae,trachypithecus,cristatus,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Trachypithecus cristatus
Trachypithecus francoisi,43496.0,Trachypithecus francoisi,20,37,exact,0.82,,2436539.0,14.0,3.0,26.0,17.0,34.0,37.0,63.0,80.0,Cercopithecidae,Trachypithecus francoisi,cercopithecidae,trachypithecus,francoisi,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Trachypithecus francoisi
Trachypithecus geei,43495.0,Trachypithecus geei,155,274,exact,3.49,,2436536.0,134.0,0.0,216.0,0.0,289.0,289.0,490.0,490.0,Cercopithecidae,Trachypithecus geei,cercopithecidae,trachypithecus,geei,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Trachypithecus geei
Trachypithecus obscurus,43494.0,Trachypithecus obscurus,3036,3972,exact,16.36,,2436535.0,1977.0,40.0,3667.0,112.0,5013.0,5053.0,7639.0,7751.0,Cercopithecidae,Trachypithecus obscurus,cercopithecidae,trachypithecus,obscurus,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Trachypithecus obscurus
Trachypithecus phayrei,43490.0,Trachypithecus phayrei,100,263,exact,2.63,,2436540.0,88.0,3.0,230.0,17.0,188.0,191.0,493.0,510.0,Cercopithecidae,Trachypithecus phayrei,cercopithecidae,trachypithecus,phayrei,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Trachypithecus phayrei
Trachypithecus pileatus,43493.0,Trachypithecus pileatus,390,591,exact,4.42,,2436538.0,318.0,2.0,512.0,4.0,708.0,710.0,1103.0,1107.0,Cercopithecidae,Trachypithecus pileatus,cercopithecidae,trachypithecus,pileatus,0,1,con_to_both,1,0,1,partial,bidirectional_maturation,focal,Trachypithecus pileatus
Allenopithecus nigroviridis,43464.0,Allenopithecus nigroviridis,6,6,exact,0.41,,2436620.0,7.0,4.0,7.0,8.0,13.0,17.0,13.0,21.0,Cercopithecidae,Allenopithecus nigroviridis,cercopithecidae,allenopithecus,nigroviridis,0,0,,0,0,0,,mono_stable,additional,Allenopithecus nigroviridis
Allocebus trichotis,43553.0,Allocebus trichotis,5,13,exact,0.41,,2436445.0,5.0,0.0,13.0,0.0,10.0,10.0,26.0,26.0,Cheirogaleidae,Allocebus trichotis,cheirogaleidae,allocebus,trichotis,0,0,,0,0,0,,mono_stable,additional,Allocebus trichotis
Allochrocebus preussi,566542.0,Allochrocebus preussi,3,8,exact,4.48,,8238140.0,1.0,9.0,3.0,9.0,4.0,13.0,11.0,20.0,Cercopithecidae,Allochrocebus preussi,cercopithecidae,cercopithecus,preussi,0,0,,0,0,0,,mono_stable,additional,Allochrocebus preussi
Alouatta belzebul,43441.0,Alouatta belzebul,154,263,exact,3.18,,2436655.0,108.0,44.0,179.0,125.0,262.0,306.0,442.0,567.0,Atelidae,Alouatta belzebul,cebidae,alouatta,belzebul,0,0,,0,0,0,,mono_stable,additional,Alouatta belzebul
Alouatta guariba,74053.0,Alouatta guariba,1077,1732,exact,8.69,,7262055.0,690.0,22.0,1860.0,42.0,1767.0,1789.0,3592.0,3634.0,Atelidae,Alouatta guariba,cebidae,alouatta,guariba,0,0,,0,0,0,,mono_stable,additional,Alouatta guariba
Alouatta palliata,43436.0,Alouatta palliata,10560,16526,estimate,3.69,,2436649.0,7102.0,519.0,14524.0,1152.0,17662.0,18181.0,31050.0,32202.0,Atelidae,Alouatta palliata,cebidae,alouatta,palliata,0,0,,0,0,0,,mono_stable,additional,Alouatta palliata
Alouatta pigra,43439.0,Alouatta pigra,2779,3655,exact,15.62,,2436653.0,1953.0,65.0,3945.0,205.0,4732.0,4797.0,7600.0,7805.0,Atelidae,Alouatta pigra,cebidae,alouatta,pigra,0,0,,0,0,0,,mono_stable,additional,Alouatta pigra
Alouatta sara,43438.0,Alouatta sara,230,370,exact,3.54,,2436651.0,130.0,0.0,242.0,0.0,360.0,360.0,612.0,612.0,Atelidae,Alouatta sara,cebidae,alouatta,sara,0,0,,0,0,0,,mono_stable,additional,Alouatta sara
