species,inat_taxon_id,inat_name,inat_research_grade_obs,inat_total_photos,inat_photo_total_method,inat_sec_per_species,inat_error,gbif_key,gbif_human_obs,gbif_specimen_obs,gbif_photos,gbif_specimen_photos,combined_obs,combined_obs_specimens,combined_photos,combined_photos_specimens,family,species_binom,family_trait,genus,species_trait,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color,type,key
Cercopithecus solatus,566543.0,Allochrocebus solatus,12,15,exact,1.91,,5219575.0,0.0,2.0,0.0,2.0,12.0,14.0,15.0,17.0,Cercopithecidae,Cercopithecus solatus,cercopithecidae,cercopithecus,solatus,0,0,,0,0,0,,mono_stable,additional,Allochrocebus solatus
Cheirogaleus major,566539.0,Cheirogaleus major,16,27,exact,2.12,,2436452.0,16.0,12.0,28.0,67.0,32.0,44.0,55.0,122.0,Cheirogaleidae,Cheirogaleus major,cheirogaleidae,cheirogaleus,major,0,0,,0,0,0,,mono_stable,additional,Cheirogaleus major
Cheirogaleus medius,43550.0,Cheirogaleus medius,45,58,exact,1.83,,2436451.0,29.0,7.0,41.0,8.0,74.0,81.0,99.0,107.0,Cheirogaleidae,Cheirogaleus medius,cheirogaleidae,cheirogaleus,medius,0,0,,0,0,0,,mono_stable,additional,Cheirogaleus medius
Chiropotes albinasus,43651.0,Chiropotes albinasus,88,136,exact,2.4,,5219526.0,42.0,12.0,50.0,24.0,130.0,142.0,186.0,210.0,Pitheciidae,Chiropotes albinasus,cebidae,chiropotes,albinasus,0,0,,0,0,0,,mono_stable,additional,Chiropotes albinasus
Chiropotes chiropotes,74186.0,Chiropotes chiropotes,9,16,exact,1.08,,5707307.0,10.0,44.0,20.0,123.0,19.0,63.0,36.0,159.0,Pitheciidae,Chiropotes chiropotes,cebidae,chiropotes,chiropotes,0,0,,0,0,0,,mono_stable,additional,Chiropotes chiropotes
Chiropotes satanas,43650.0,Chiropotes satanas,10,10,exact,1.97,,5219527.0,10.0,4.0,10.0,10.0,20.0,24.0,20.0,30.0,Pitheciidae,Chiropotes satanas,cebidae,chiropotes,satanas,0,0,,0,0,0,,mono_stable,additional,Chiropotes satanas
Colobus satanas,43528.0,Colobus satanas,23,26,exact,2.89,,5963046.0,32.0,13.0,33.0,19.0,55.0,68.0,59.0,78.0,Cercopithecidae,Colobus satanas,cercopithecidae,colobus,satanas,0,0,,0,0,0,,mono_stable,additional,Colobus satanas
Daubentonia madagascariensis,43558.0,Daubentonia madagascariensis,64,148,exact,2.68,,5219587.0,47.0,14.0,122.0,36.0,111.0,125.0,270.0,306.0,Daubentoniidae,Daubentonia madagascariensis,daubentoniidae,daubentonia,madagascariensis,0,0,,0,0,0,,mono_stable,additional,Daubentonia madagascariensis
Eulemur coronatus,43610.0,Eulemur coronatus,157,253,exact,3.75,,2436422.0,105.0,5.0,192.0,5.0,262.0,267.0,445.0,450.0,Lemuridae,Eulemur coronatus,lemuridae,eulemur,coronatus,0,0,,0,0,0,,early_dimorphism,focal,Eulemur coronatus
Eulemur fulvus,43613.0,Eulemur fulvus,547,737,exact,4.72,,9092265.0,405.0,87.0,794.0,204.0,952.0,1039.0,1531.0,1735.0,Lemuridae,Eulemur fulvus,lemuridae,eulemur,fulvus,0,0,,0,0,0,,early_dimorphism,focal,Eulemur fulvus
Eulemur rubriventer,43612.0,Eulemur rubriventer,228,368,exact,3.03,,2436421.0,159.0,23.0,327.0,63.0,387.0,410.0,695.0,758.0,Lemuridae,Eulemur rubriventer,lemuridae,eulemur,rubriventer,0,0,,0,0,0,,early_dimorphism,focal,Eulemur rubriventer
Euoticus elegantulus,43573.0,Euoticus elegantulus,16,28,exact,0.63,,2436514.0,11.0,20.0,22.0,33.0,27.0,47.0,50.0,83.0,Galagidae,Euoticus elegantulus,galagonidae,euoticus,elegantulus,0,0,,0,0,0,,mono_stable,additional,Euoticus elegantulus
Euoticus pallidus,43574.0,Euoticus pallidus,0,0,exact,0.09,,2436513.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,Galagidae,Euoticus pallidus,galagonidae,euoticus,pallidus,0,0,,0,0,0,,mono_stable,additional,Euoticus pallidus
Galago gallarum,43564.0,Galago gallarum,34,59,exact,2.75,,2436521.0,27.0,0.0,49.0,0.0,61.0,61.0,108.0,108.0,Galagidae,Galago gallarum,galagonidae,galago,gallarum,0,0,,0,0,0,,mono_stable,additional,Galago gallarum
Galago matschiei,43563.0,Galago matschiei,11,17,exact,2.15,,2436519.0,8.0,1.0,12.0,6.0,19.0,20.0,29.0,35.0,Galagidae,Galago matschiei,galagonidae,galago,matschiei,0,0,,0,0,0,,mono_stable,additional,Galago matschiei
Galago moholi,43561.0,Galago moholi,315,535,exact,4.08,,2436522.0,224.0,90.0,393.0,214.0,539.0,629.0,928.0,1142.0,Galagidae,Galago moholi,galagonidae,galago,moholi,0,0,,0,0,0,,mono_stable,additional,Galago moholi
Galago senegalensis,43565.0,Galago senegalensis,146,262,exact,3.02,,9198359.0,111.0,365.0,194.0,756.0,257.0,622.0,456.0,1212.0,Galagidae,Galago senegalensis,galagonidae,galago,senegalensis,0,0,,0,0,0,,mono_stable,additional,Galago senegalensis
Galagoides demidoff,566537.0,Galagoides demidoff,17,32,exact,0.83,,2436517.0,12.0,122.0,24.0,240.0,29.0,151.0,56.0,296.0,Galagidae,Galagoides demidoff,galagonidae,galagoides,demidoff,0,0,,0,0,0,,mono_stable,additional,Galagoides demidoff
Galagoides thomasi,74349.0,Galagoides thomasi,11,30,exact,1.68,,4827709.0,7.0,0.0,19.0,0.0,18.0,18.0,49.0,49.0,Galagidae,Galagoides thomasi,galagonidae,galagoides,thomasi,0,0,,0,0,0,,mono_stable,additional,Galagoides thomasi
Galagoides zanzibaricus,1103823.0,Paragalago zanzibaricus,16,28,exact,4.23,,2436516.0,0.0,13.0,0.0,35.0,16.0,29.0,28.0,63.0,Galagidae,Galagoides zanzibaricus,galagonidae,galagoides,zanzibaricus,0,0,,0,0,0,,mono_stable,additional,Paragalago zanzibaricus
Gorilla beringei,68790.0,Gorilla beringei,968,1768,exact,10.4,,7262070.0,698.0,58.0,1738.0,165.0,1666.0,1724.0,3506.0,3671.0,Hominidae,Gorilla beringei,hominidae,gorilla,beringei,0,0,,0,0,0,,mono_stable,additional,Gorilla beringei
Gorilla gorilla,43580.0,Gorilla gorilla,291,528,exact,5.89,,2436441.0,212.0,216.0,477.0,1037.0,503.0,719.0,1005.0,2042.0,Hominidae,Gorilla gorilla,hominidae,gorilla,gorilla,0,0,,0,0,0,,mono_stable,additional,Gorilla gorilla
Hapalemur aureus,43621.0,Hapalemur aureus,215,410,exact,3.88,,2436415.0,149.0,0.0,326.0,0.0,364.0,364.0,736.0,736.0,Lemuridae,Hapalemur aureus,lemuridae,hapalemur,aureus,0,0,,0,0,0,,mono_stable,additional,Hapalemur aureus
Hapalemur griseus,43620.0,Hapalemur griseus,275,394,exact,3.08,,2436414.0,192.0,32.0,354.0,54.0,467.0,499.0,748.0,802.0,Lemuridae,Hapalemur griseus,lemuridae,hapalemur,griseus,0,0,,0,0,0,,mono_stable,additional,Hapalemur griseus
Hylobates agilis,43588.0,Hylobates agilis,93,148,exact,2.71,,5219550.0,55.0,36.0,79.0,121.0,148.0,184.0,227.0,348.0,Hylobatidae,Hylobates agilis,hylobatidae,hylobates,agilis,0,0,,0,0,0,,mono_stable,additional,Hylobates agilis
Hylobates klossii,43589.0,Hylobates klossii,1,1,exact,1.51,,5219546.0,1.0,21.0,1.0,89.0,2.0,23.0,2.0,91.0,Hylobatidae,Hylobates klossii,hylobatidae,hylobates,klossii,0,0,,0,0,0,,mono_stable,additional,Hylobates klossii
Hylobates lar,43593.0,Hylobates lar,972,1493,exact,8.87,,5219553.0,686.0,167.0,1489.0,935.0,1658.0,1825.0,2982.0,3917.0,Hylobatidae,Hylobates lar,hylobatidae,hylobates,lar,0,0,,0,0,0,,mono_stable,additional,Hylobates lar
Hylobates moloch,43592.0,Hylobates moloch,133,202,exact,3.06,,5219552.0,82.0,9.0,129.0,19.0,215.0,224.0,331.0,350.0,Hylobatidae,Hylobates moloch,hylobatidae,hylobates,moloch,0,0,,0,0,0,,mono_stable,additional,Hylobates moloch
Lagothrix flavicauda,738169.0,Lagothrix flavicauda,16,45,exact,0.92,,2436657.0,8.0,0.0,11.0,0.0,24.0,24.0,56.0,56.0,Atelidae,Lagothrix flavicauda,cebidae,oreonax,flavicauda,0,0,,0,0,0,,mono_stable,additional,Lagothrix flavicauda
Lagothrix lagothricha,1369209.0,Lagothrix lagothricha,1046,1691,exact,7.6,,5786085.0,648.0,98.0,1218.0,201.0,1694.0,1792.0,2909.0,3110.0,Atelidae,Lagothrix lagothricha,cebidae,lagothrix,lagotricha,0,0,,0,0,0,,mono_stable,additional,Lagothrix lagothricha
Lemur catta,43617.0,Lemur catta,869,1023,exact,8.82,,2436412.0,483.0,55.0,1224.0,122.0,1352.0,1407.0,2247.0,2369.0,Lemuridae,Lemur catta,lemuridae,lemur,catta,0,0,,0,0,0,,mono_stable,additional,Lemur catta
Leontocebus fuscicollis,43389.0,Saguinus fuscicollis,25,37,exact,1.56,,8493215.0,25.0,40.0,40.0,76.0,50.0,90.0,77.0,153.0,Callitrichidae,Leontocebus fuscicollis,callitrichidae,leontocebus,fuscicollis,0,0,,0,0,0,,mono_stable,additional,Saguinus fuscicollis
Leontocebus nigricollis,43386.0,Saguinus nigricollis,607,1239,exact,5.11,,8628111.0,416.0,87.0,836.0,169.0,1023.0,1110.0,2075.0,2244.0,Callitrichidae,Leontocebus nigricollis,callitrichidae,leontocebus,nigricollis,0,0,,0,0,0,,mono_stable,additional,Saguinus nigricollis
Leontocebus tripartitus,43381.0,Saguinus tripartitus,145,314,exact,2.76,,9512820.0,99.0,3.0,208.0,10.0,244.0,247.0,522.0,532.0,Callitrichidae,Leontocebus tripartitus,callitrichidae,leontocebus,tripartitus,0,0,,0,0,0,,mono_stable,additional,Saguinus tripartitus
Leontopithecus caissara,43393.0,Leontopithecus caissara,6,18,exact,0.51,,2436479.0,4.0,0.0,11.0,0.0,10.0,10.0,29.0,29.0,Callitrichidae,Leontopithecus caissara,callitrichidae,leontopithecus,caissara,0,0,,0,0,0,,mono_stable,additional,Leontopithecus caissara
Leontopithecus chrysomelas,43394.0,Leontopithecus chrysomelas,36,88,exact,2.71,,2436481.0,20.0,49.0,45.0,105.0,56.0,105.0,133.0,238.0,Callitrichidae,Leontopithecus chrysomelas,callitrichidae,leontopithecus,chrysomelas,0,0,,0,0,0,,mono_stable,additional,Leontopithecus chrysomelas
Leontopithecus chrysopygus,43395.0,Leontopithecus chrysopygus,85,156,exact,3.54,,2436480.0,37.0,2.0,60.0,4.0,122.0,124.0,216.0,220.0,Callitrichidae,Leontopithecus chrysopygus,callitrichidae,leontopithecus,chrysopygus,0,0,,0,0,0,,mono_stable,additional,Leontopithecus chrysopygus
Leontopithecus rosalia,43396.0,Leontopithecus rosalia,117,259,exact,3.13,,2436482.0,68.0,218.0,167.0,490.0,185.0,403.0,426.0,916.0,Callitrichidae,Leontopithecus rosalia,callitrichidae,leontopithecus,rosalia,0,0,,0,0,0,,mono_stable,additional,Leontopithecus rosalia
Lepilemur dorsalis,43640.0,Lepilemur dorsalis,0,0,exact,0.19,,2436496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lepilemuridae,Lepilemur dorsalis,lepilemuridae,lepilemur,dorsalis,0,0,,0,0,0,,mono_stable,additional,Lepilemur dorsalis
Lepilemur edwardsi,43641.0,Lepilemur edwardsi,63,96,exact,1.61,,2436494.0,36.0,0.0,57.0,0.0,99.0,99.0,153.0,153.0,Lepilemuridae,Lepilemur edwardsi,lepilemuridae,lepilemur,edwardsi,0,0,,0,0,0,,mono_stable,additional,Lepilemur edwardsi
Lepilemur leucopus,43636.0,Lepilemur leucopus,93,135,exact,2.44,,2436491.0,48.0,1.0,77.0,1.0,141.0,142.0,212.0,213.0,Lepilemuridae,Lepilemur leucopus,lepilemuridae,lepilemur,leucopus,0,0,,0,0,0,,mono_stable,additional,Lepilemur leucopus
Lepilemur microdon,43638.0,Lepilemur microdon,16,20,exact,1.38,,2436495.0,13.0,9.0,16.0,9.0,29.0,38.0,36.0,45.0,Lepilemuridae,Lepilemur microdon,lepilemuridae,lepilemur,microdon,0,0,,0,0,0,,mono_stable,additional,Lepilemur microdon
Lepilemur mustelinus,43639.0,Lepilemur mustelinus,19,25,exact,1.63,,2436493.0,17.0,5.0,24.0,6.0,36.0,41.0,49.0,55.0,Lepilemuridae,Lepilemur mustelinus,lepilemuridae,lepilemur,mustelinus,0,0,,0,0,0,,mono_stable,additional,Lepilemur mustelinus
Lepilemur ruficaudatus,43637.0,Lepilemur ruficaudatus,66,89,exact,3.18,,2436490.0,44.0,3.0,58.0,24.0,110.0,113.0,147.0,171.0,Lepilemuridae,Lepilemur ruficaudatus,lepilemuridae,lepilemur,ruficaudatus,0,0,,0,0,0,,mono_stable,additional,Lepilemur ruficaudatus
Lepilemur septentrionalis,43635.0,Lepilemur septentrionalis,3,3,exact,0.53,,2436492.0,4.0,0.0,4.0,0.0,7.0,7.0,7.0,7.0,Lepilemuridae,Lepilemur septentrionalis,lepilemuridae,lepilemur,septentrionalis,0,0,,0,0,0,,mono_stable,additional,Lepilemur septentrionalis
Lophocebus albigena,43540.0,Lophocebus albigena,71,114,exact,3.13,,2436589.0,197.0,40.0,307.0,97.0,268.0,308.0,421.0,518.0,Cercopithecidae,Lophocebus albigena,cercopithecidae,lophocebus,albigena,0,0,,0,0,0,,mono_stable,additional,Lophocebus albigena
Lophocebus aterrimus,74512.0,Lophocebus aterrimus,18,30,exact,1.88,,4267096.0,15.0,4.0,26.0,7.0,33.0,37.0,56.0,63.0,Cercopithecidae,Lophocebus aterrimus,cercopithecidae,lophocebus,aterrimus,0,0,,0,0,0,,mono_stable,additional,Lophocebus aterrimus
Loris tardigradus,43632.0,Loris tardigradus,11,12,exact,0.75,,2436626.0,7.0,94.0,8.0,95.0,18.0,112.0,20.0,115.0,Lorisidae,Loris tardigradus,loridae,loris,tardigradus,0,0,,0,0,0,,mono_stable,additional,Loris tardigradus
Macaca assamensis,43454.0,Macaca assamensis,330,562,exact,7.2,,2436610.0,256.0,5.0,404.0,9.0,586.0,591.0,966.0,975.0,Cercopithecidae,Macaca assamensis,cercopithecidae,macaca,assamensis,0,0,,0,0,0,,mono_stable,additional,Macaca assamensis
Macaca cyclopis,43450.0,Macaca cyclopis,4515,6253,estimate,3.62,,2436615.0,2537.0,57.0,4934.0,140.0,7052.0,7109.0,11187.0,11327.0,Cercopithecidae,Macaca cyclopis,cercopithecidae,macaca,cyclopis,0,0,,0,0,0,,mono_stable,additional,Macaca cyclopis
Macaca fascicularis,43459.0,Macaca fascicularis,14868,23714,estimate,5.6,,2436603.0,9695.0,795.0,17936.0,1765.0,24563.0,25358.0,41650.0,43415.0,Cercopithecidae,Macaca fascicularis,cercopithecidae,macaca,fascicularis,0,0,,0,0,0,,mono_stable,additional,Macaca fascicularis
Macaca fuscata,43458.0,Macaca fuscata,1668,2506,exact,9.63,,2436608.0,1217.0,30.0,2903.0,105.0,2885.0,2915.0,5409.0,5514.0,Cercopithecidae,Macaca fuscata,cercopithecidae,macaca,fuscata,0,0,,0,0,0,,mono_stable,additional,Macaca fuscata
Macaca hecki,74531.0,Macaca hecki,29,47,exact,1.41,,4267156.0,18.0,24.0,30.0,48.0,47.0,71.0,77.0,125.0,Cercopithecidae,Macaca hecki,cercopithecidae,macaca,hecki,0,0,,0,0,0,,mono_stable,additional,Macaca hecki
Macaca maura,43449.0,Macaca maura,105,163,exact,1.97,,2436606.0,54.0,36.0,87.0,66.0,159.0,195.0,250.0,316.0,Cercopithecidae,Macaca maura,cercopithecidae,macaca,maura,0,0,,0,0,0,,mono_stable,additional,Macaca maura
Macaca mulatta,43460.0,Macaca mulatta,5942,9210,estimate,3.59,,2436604.0,3989.0,477.0,8217.0,968.0,9931.0,10408.0,17427.0,18395.0,Cercopithecidae,Macaca mulatta,cercopithecidae,macaca,mulatta,0,0,,0,0,0,,mono_stable,additional,Macaca mulatta
Macaca nemestrina,43455.0,Macaca nemestrina,1548,2073,exact,9.53,,2436611.0,1052.0,124.0,1936.0,367.0,2600.0,2724.0,4009.0,4376.0,Cercopithecidae,Macaca nemestrina,cercopithecidae,macaca,nemestrina,0,0,,0,0,0,,mono_stable,additional,Macaca nemestrina
Macaca nigra,43457.0,Macaca nigra,343,690,exact,4.66,,2436616.0,223.0,85.0,463.0,176.0,566.0,651.0,1153.0,1329.0,Cercopithecidae,Macaca nigra,cercopithecidae,macaca,nigra,0,0,,0,0,0,,mono_stable,additional,Macaca nigra
Macaca nigrescens,74533.0,Macaca nigrescens,20,33,exact,0.83,,4267157.0,10.0,2.0,22.0,4.0,30.0,32.0,55.0,59.0,Cercopithecidae,Macaca nigrescens,cercopithecidae,macaca,nigrescens,0,0,,0,0,0,,mono_stable,additional,Macaca nigrescens
Macaca ochreata,43447.0,Macaca ochreata,13,18,exact,0.73,,2436607.0,15.0,9.0,20.0,18.0,28.0,37.0,38.0,56.0,Cercopithecidae,Macaca ochreata,cercopithecidae,macaca,ochreata,0,0,,0,0,0,,mono_stable,additional,Macaca ochreata
Macaca radiata,43448.0,Macaca radiata,2970,3394,exact,18.67,,2436612.0,2039.0,12.0,3507.0,21.0,5009.0,5021.0,6901.0,6922.0,Cercopithecidae,Macaca radiata,cercopithecidae,macaca,radiata,0,0,,0,0,0,,mono_stable,additional,Macaca radiata
Macaca silenus,43446.0,Macaca silenus,301,536,exact,4.5,,2436617.0,265.0,19.0,509.0,36.0,566.0,585.0,1045.0,1081.0,Cercopithecidae,Macaca silenus,cercopithecidae,macaca,silenus,0,0,,0,0,0,,mono_stable,additional,Macaca silenus
Macaca sinica,43456.0,Macaca sinica,1663,2253,exact,12.05,,2436613.0,1214.0,36.0,2677.0,67.0,2877.0,2913.0,4930.0,4997.0,Cercopithecidae,Macaca sinica,cercopithecidae,macaca,sinica,0,0,,0,0,0,,mono_stable,additional,Macaca sinica
Macaca sylvanus,43452.0,Macaca sylvanus,2121,2482,exact,25.42,,2436618.0,1825.0,49.0,3221.0,109.0,3946.0,3995.0,5703.0,5812.0,Cercopithecidae,Macaca sylvanus,cercopithecidae,macaca,sylvanus,0,0,,0,0,0,,mono_stable,additional,Macaca sylvanus
Macaca thibetana,43451.0,Macaca thibetana,256,396,exact,4.02,,2436609.0,171.0,17.0,346.0,48.0,427.0,444.0,742.0,790.0,Cercopithecidae,Macaca thibetana,cercopithecidae,macaca,thibetana,0,0,,0,0,0,,mono_stable,additional,Macaca thibetana
Macaca tonkeana,43453.0,Macaca tonkeana,41,60,exact,0.98,,2436614.0,29.0,18.0,43.0,35.0,70.0,88.0,103.0,138.0,Cercopithecidae,Macaca tonkeana,cercopithecidae,macaca,tonkeana,0,0,,0,0,0,,mono_stable,additional,Macaca tonkeana
Mandrillus leucophaeus,43532.0,Mandrillus leucophaeus,13,18,exact,0.96,,5219557.0,13.0,18.0,18.0,38.0,26.0,44.0,36.0,74.0,Cercopithecidae,Mandrillus leucophaeus,cercopithecidae,mandrillus,leucophaeus,0,0,,0,0,0,,mono_stable,additional,Mandrillus leucophaeus
Mandrillus sphinx,43533.0,Mandrillus sphinx,96,156,exact,6.52,,5219556.0,107.0,39.0,163.0,71.0,203.0,242.0,319.0,390.0,Cercopithecidae,Mandrillus sphinx,cercopithecidae,mandrillus,sphinx,0,0,,0,0,0,,mono_stable,additional,Mandrillus sphinx
Mico argentatus,64523.0,Mico argentatus,63,140,exact,2.32,,5786456.0,30.0,57.0,85.0,126.0,93.0,150.0,225.0,351.0,Callitrichidae,Mico argentatus,callitrichidae,mico,argentata,0,0,,0,0,0,,mono_stable,additional,Mico argentatus
Mico humeralifer,74576.0,Mico humeralifer,20,42,exact,0.66,,5786463.0,13.0,16.0,38.0,45.0,33.0,49.0,80.0,125.0,Callitrichidae,Mico humeralifer,callitrichidae,mico,humeralifer,0,0,,0,0,0,,mono_stable,additional,Mico humeralifer
Mico mauesi,74579.0,Mico mauesi,0,0,exact,0.09,,5786464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Callitrichidae,Mico mauesi,callitrichidae,mico,mauesi,0,0,,0,0,0,,mono_stable,additional,Mico mauesi
Mico nigriceps,64524.0,Mico nigriceps,3,8,exact,3.19,,5786461.0,1.0,0.0,1.0,0.0,4.0,4.0,9.0,9.0,Callitrichidae,Mico nigriceps,callitrichidae,mico,nigriceps,0,0,,0,0,0,,mono_stable,additional,Mico nigriceps
Microcebus murinus,43546.0,Microcebus murinus,109,183,exact,3.58,,2436447.0,81.0,27.0,139.0,74.0,190.0,217.0,322.0,396.0,Cheirogaleidae,Microcebus murinus,cheirogaleidae,microcebus,murinus,0,0,,0,0,0,,mono_stable,additional,Microcebus murinus
Microcebus myoxinus,74592.0,Microcebus myoxinus,4,11,exact,0.52,,4266979.0,5.0,0.0,13.0,0.0,9.0,9.0,24.0,24.0,Cheirogaleidae,Microcebus myoxinus,cheirogaleidae,microcebus,myoxinus,0,0,,0,0,0,,mono_stable,additional,Microcebus myoxinus
Microcebus rufus,43548.0,Microcebus rufus,148,247,exact,2.75,,2436448.0,112.0,7.0,185.0,42.0,260.0,267.0,432.0,474.0,Cheirogaleidae,Microcebus rufus,cheirogaleidae,microcebus,rufus,0,0,,0,0,0,,mono_stable,additional,Microcebus rufus
Miopithecus talapoin,43543.0,Miopithecus talapoin,7,9,exact,2.08,,2436591.0,1.0,34.0,3.0,66.0,8.0,42.0,12.0,78.0,Cercopithecidae,Miopithecus talapoin,cercopithecidae,miopithecus,talapoin,0,0,,0,0,0,,mono_stable,additional,Miopithecus talapoin
Mirza coquereli,74635.0,Mirza coquereli,5,9,exact,0.52,,4266974.0,1.0,7.0,1.0,14.0,6.0,13.0,10.0,24.0,Cheirogaleidae,Mirza coquereli,cheirogaleidae,mizra,coquereli,0,0,,0,0,0,,mono_stable,additional,Mirza coquereli
Nasalis larvatus,43538.0,Nasalis larvatus,2121,2916,exact,18.49,,2436525.0,1352.0,85.0,2650.0,260.0,3473.0,3558.0,5566.0,5826.0,Cercopithecidae,Nasalis larvatus,cercopithecidae,nasalis,larvatus,0,0,,0,0,0,,mono_stable,additional,Nasalis larvatus
Nycticebus coucang,43627.0,Nycticebus coucang,214,356,exact,3.83,,2436629.0,111.0,80.0,198.0,139.0,325.0,405.0,554.0,693.0,Lorisidae,Nycticebus coucang,loridae,nycticebus,coucang,0,0,,0,0,0,,mono_stable,additional,Nycticebus coucang
Nycticebus pygmaeus,1398534.0,Xanthonycticebus pygmaeus,27,55,exact,1.01,,2436628.0,0.0,4.0,0.0,9.0,27.0,31.0,55.0,64.0,Lorisidae,Nycticebus pygmaeus,loridae,nycticebus,pygmaeus,0,0,,0,0,0,,mono_stable,additional,Xanthonycticebus pygmaeus
Otolemur crassicaudatus,43567.0,Otolemur crassicaudatus,400,691,exact,5.3,,8978926.0,298.0,147.0,504.0,379.0,698.0,845.0,1195.0,1574.0,Galagidae,Otolemur crassicaudatus,galagonidae,otolemur,crassicaudatus,0,0,,0,0,0,,mono_stable,additional,Otolemur crassicaudatus
Otolemur garnettii,43568.0,Otolemur garnettii,229,333,exact,4.49,,2436511.0,167.0,83.0,281.0,161.0,396.0,479.0,614.0,775.0,Galagidae,Otolemur garnettii,galagonidae,otolemur,garnettii,0,0,,0,0,0,,mono_stable,additional,Otolemur garnettii
Pan paniscus,43578.0,Pan paniscus,10,15,exact,1.05,,5219533.0,7.0,8.0,10.0,58.0,17.0,25.0,25.0,83.0,Hominidae,Pan paniscus,hominidae,pan,paniscus,0,0,,0,0,0,,mono_stable,additional,Pan paniscus
Pan troglodytes,43577.0,Pan troglodytes,1018,1701,exact,28.91,,5219534.0,803.0,196.0,1425.0,745.0,1821.0,2017.0,3126.0,3871.0,Hominidae,Pan troglodytes,hominidae,pan,troglodytes,0,0,,0,0,0,,mono_stable,additional,Pan troglodytes
Papio cynocephalus,67683.0,Papio cynocephalus,1120,1306,exact,6.89,,7262027.0,879.0,44.0,1613.0,105.0,1999.0,2043.0,2919.0,3024.0,Cercopithecidae,Papio cynocephalus,cercopithecidae,papio,cynocephalus,0,0,,0,0,0,,mono_stable,additional,Papio cynocephalus
Perodicticus potto,549032.0,Perodicticus potto,34,51,exact,1.07,,2436624.0,24.0,133.0,36.0,247.0,58.0,191.0,87.0,334.0,Lorisidae,Perodicticus potto,loridae,perodicticus,potto,0,0,,0,0,0,,mono_stable,additional,Perodicticus potto
Phaner furcifer,43555.0,Phaner furcifer,0,0,exact,0.1,,2436443.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,Cheirogaleidae,Phaner furcifer,cheirogaleidae,phaner,furcifer,0,0,,0,0,0,,mono_stable,additional,Phaner furcifer
Pithecia aequatorialis,43646.0,Pithecia aequatorialis,7,9,exact,0.4,,2436371.0,6.0,0.0,8.0,0.0,13.0,13.0,17.0,17.0,Pitheciidae,Pithecia aequatorialis,cebidae,pithecia,aequatorialis,0,0,,0,0,0,,mono_stable,additional,Pithecia aequatorialis
Pithecia albicans,43644.0,Pithecia albicans,0,0,exact,0.1,,2436374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pitheciidae,Pithecia albicans,cebidae,pithecia,albicans,0,0,,0,0,0,,mono_stable,additional,Pithecia albicans
Pithecia irrorata,855277.0,Pithecia irrorata,78,137,exact,6.03,,2436372.0,38.0,0.0,53.0,0.0,116.0,116.0,190.0,190.0,Pitheciidae,Pithecia irrorata,cebidae,pithecia,irrorata,0,0,,0,0,0,,mono_stable,additional,Pithecia irrorata
Pithecia monachus,852369.0,Pithecia monachus,33,64,exact,1.19,,2436375.0,23.0,46.0,46.0,103.0,56.0,102.0,110.0,213.0,Pitheciidae,Pithecia monachus,cebidae,pithecia,monachus,0,0,,0,0,0,,mono_stable,additional,Pithecia monachus
Plecturocebus brunneus,926855.0,Plecturocebus brunneus,28,65,exact,0.89,,9410326.0,16.0,0.0,24.0,0.0,44.0,44.0,89.0,89.0,Pitheciidae,Plecturocebus brunneus,cebidae,callicebus,brunneus,0,0,,0,0,0,,mono_stable,additional,Plecturocebus brunneus
Callicebus dubius,,,0,0,no_inat_entry,,Species not in iNaturalist,2436403.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pitheciidae,Plecturocebus dubius,cebidae,callicebus,dubius,0,0,,0,0,0,,mono_stable,additional,Callicebus dubius
Pongo abelii,569678.0,Pongo abelii,585,1100,exact,5.43,,5707420.0,427.0,39.0,1042.0,108.0,1012.0,1051.0,2142.0,2250.0,Hominidae,Pongo abelii,pongidae,pongo,abelii,0,0,,0,0,0,,mono_stable,additional,Pongo abelii
Pongo pygmaeus,43582.0,Pongo pygmaeus,1671,2427,exact,14.77,,5219532.0,1163.0,196.0,2407.0,566.0,2834.0,3030.0,4834.0,5400.0,Hominidae,Pongo pygmaeus,pongidae,pongo,pygmaeus,0,0,,0,0,0,,mono_stable,additional,Pongo pygmaeus
Presbytis comata,43507.0,Presbytis comata,105,167,exact,2.53,,5219565.0,59.0,7.0,94.0,23.0,164.0,171.0,261.0,284.0,Cercopithecidae,Presbytis comata,cercopithecidae,presbytis,comata,0,0,,0,0,0,,mono_stable,additional,Presbytis comata
Presbytis femoralis,43506.0,Presbytis femoralis,262,385,exact,3.42,,5219562.0,151.0,14.0,317.0,42.0,413.0,427.0,702.0,744.0,Cercopithecidae,Presbytis femoralis,cercopithecidae,presbytis,femoralis,0,0,,0,0,0,,mono_stable,additional,Presbytis femoralis
